CHROM	start	stop	percentage	Me	Un	Anonymized_ID
chr5	71397433	71397433	0	0	1	SMA_994
chr5	71397489	71397489	90.8126166846811	9242	935	SMA_994
chr5	71397493	71397493	99.9312242090784	10171	7	SMA_994
chr5	71397495	71397495	88.194239653986	8972	1201	SMA_994
chr5	71397505	71397505	94.9012673150604	9660	519	SMA_994
chr5	71397538	71397538	99.9409332545777	10152	6	SMA_994
chr5	71397549	71397549	99.9211900305389	10143	8	SMA_994
chr5	71397594	71397594	92.3485967503693	9378	777	SMA_994
chr5	71397638	71397638	99.9013417521705	10126	10	SMA_994
chr5	71397658	71397658	99.9407758365413	10125	6	SMA_994
chr5	71397680	71397680	95.9167570766348	9725	414	SMA_994
chr5	71397741	71397741	96.8941061384202	7924	254	SMA_994
chr5	71397793	71397793	98.1453017727226	9578	181	SMA_994
chr5	71397869	71397869	91.1717815862894	9150	886	SMA_994
chr5	71397914	71397914	0	0	2	SMA_994
chr5	71397433	71397433	0	0	2	SMA_995
chr5	71397489	71397489	97.013093289689	7113	219	SMA_995
chr5	71397493	71397493	99.986366734833	7334	1	SMA_995
chr5	71397495	71397495	90.6761177753544	6652	684	SMA_995
chr5	71397505	71397505	99.945466939332	7331	4	SMA_995
chr5	71397538	71397538	98.1302033574451	7190	137	SMA_995
chr5	71397549	71397549	99.9453850354997	7320	4	SMA_995
chr5	71397594	71397594	99.0166621141765	7250	72	SMA_995
chr5	71397638	71397638	98.1405523653268	7178	136	SMA_995
chr5	71397658	71397658	99.958932238193	7302	3	SMA_995
chr5	71397680	71397680	99.7536945812808	7290	18	SMA_995
chr5	71397741	71397741	99.7775496235455	5831	13	SMA_995
chr5	71397793	71397793	97.8538942581012	6885	151	SMA_995
chr5	71397869	71397869	86.3123106582209	6268	994	SMA_995
chr5	71397914	71397914	0	0	3	SMA_995
chr5	71397489	71397489	99.5724734727516	19331	83	SMA_996
chr5	71397493	71397493	99.9691071980229	19416	6	SMA_996
chr5	71397495	71397495	99.9793973731651	19411	4	SMA_996
chr5	71397505	71397505	92.4720663199629	17959	1462	SMA_996
chr5	71397538	71397538	99.9226684538846	19382	15	SMA_996
chr5	71397549	71397549	99.9226525034806	19378	15	SMA_996
chr5	71397594	71397594	99.93809646634	19373	12	SMA_996
chr5	71397638	71397638	99.9586840882095	19355	8	SMA_996
chr5	71397658	71397658	99.9845009299442	19353	3	SMA_996
chr5	71397680	71397680	99.9845049325965	19358	3	SMA_996
chr5	71397741	71397741	99.9632757987514	16332	6	SMA_996
chr5	71397793	71397793	99.9733304885855	18743	5	SMA_996
chr5	71397869	71397869	99.8855478098013	19200	22	SMA_996
chr5	71397914	71397914	0	0	4	SMA_996
chr5	71397433	71397433	0	0	3	SMA_998
chr5	71397489	71397489	94.9246453900709	25698	1374	SMA_998
chr5	71397493	71397493	97.8538711583924	26491	581	SMA_998
chr5	71397495	71397495	94.9676704230556	25703	1362	SMA_998
chr5	71397505	71397505	99.963062830126	27063	10	SMA_998
chr5	71397538	71397538	99.8927911275416	27021	29	SMA_998
chr5	71397549	71397549	99.903856820619	27017	26	SMA_998
chr5	71397594	71397594	97.6245976245976	26385	642	SMA_998
chr5	71397638	71397638	97.5849168426121	26345	652	SMA_998
chr5	71397658	71397658	99.9555374411797	26977	12	SMA_998
chr5	71397680	71397680	99.9814842245593	26999	5	SMA_998
chr5	71397741	71397741	99.9837060572732	24545	4	SMA_998
chr5	71397793	71397793	96.6402714932127	25629	891	SMA_998
chr5	71397869	71397869	93.0642939577827	24998	1863	SMA_998
chr5	71397914	71397914	0	0	2	SMA_998
chr5	71397433	71397433	0	0	2	SMA_999
chr5	71397489	71397489	99.8904665314402	24623	27	SMA_999
chr5	71397493	71397493	98.9694904251866	24394	254	SMA_999
chr5	71397495	71397495	99.963476990504	24633	9	SMA_999
chr5	71397505	71397505	99.9837701858314	24642	4	SMA_999
chr5	71397538	71397538	99.8619737750172	24599	34	SMA_999
chr5	71397549	71397549	99.7482335742711	24564	62	SMA_999
chr5	71397594	71397594	99.9918765231519	24618	2	SMA_999
chr5	71397628	71397628	0	0	1	SMA_999
chr5	71397638	71397638	99.9552681875483	24580	11	SMA_999
chr5	71397658	71397658	99.9877964446976	24580	3	SMA_999
chr5	71397680	71397680	99.9512135626296	24585	12	SMA_999
chr5	71397741	71397741	99.9724927105683	18172	5	SMA_999
chr5	71397793	71397793	91.6119620714807	21352	1955	SMA_999
chr5	71397869	71397869	96.3289159601613	23406	892	SMA_999
chr5	71397914	71397914	0	0	5	SMA_999
